Filename,BPM,Key,Happy,Sad,Relaxed,Aggressive,Danceability
1962329884.mp3,97,F# minor,0.730,0.709,0.537,0.150,0.701
1963029874.mp3,128,F minor,0.573,0.555,0.520,0.256,0.483
1963153845.mp3,106,Ab major,0.309,0.960,0.715,0.055,0.097
1964623946.mp3,80,B major,0.638,0.940,0.443,0.064,0.128
1964727169.mp3,84,G major,0.247,0.965,0.745,0.050,0.556
1966543968.mp3,95,Ab minor,0.636,0.400,0.382,0.115,0.984
1969627303.mp3,71,E major,0.242,0.974,0.762,0.038,0.761
1969674118.mp3,77,C# major,0.487,0.941,0.485,0.061,0.304
1969888298.mp3,114,D major,0.066,0.996,0.907,0.086,0.147
1972691163.mp3,121,F major,0.196,0.974,0.842,0.059,0.223
1976542852.mp3,74,A minor,0.166,0.959,0.860,0.066,0.211
1978306163.mp3,78,Bb major,0.450,0.963,0.767,0.060,0.987
1978384829.mp3,100,A minor,0.090,0.988,0.922,0.043,0.089
1982779327.mp3,71,C major,0.342,0.976,0.740,0.024,0.156
1982784662.mp3,70,C major,0.209,0.994,0.900,0.029,0.142
1982950851.mp3,75,Ab minor,0.653,0.864,0.805,0.167,0.466
1982963905.mp3,75,Ab minor,0.597,0.834,0.773,0.139,0.581
1983110162.mp3,130,Ab minor,0.907,0.181,0.387,0.184,1.000
1984042486.mp3,116,Ab major,0.414,0.959,0.751,0.015,0.098
1984113155.mp3,90,Bb major,0.610,0.560,0.490,0.451,0.793
1986291142.mp3,120,Bb major,0.306,0.506,0.643,0.160,0.858
1986730874.mp3,88,F# minor,0.258,0.877,0.708,0.067,1.000
1987383222.mp3,114,C minor,0.249,0.989,0.822,0.074,0.589
1988621440.mp3,101,A minor,0.097,0.998,0.881,0.043,0.126
1991850168.mp3,70,C major,0.221,0.971,0.958,0.026,0.327
1993460922.mp3,124,C# minor,0.926,0.637,0.318,0.466,0.751
1993562497.mp3,74,D minor,0.491,0.702,0.418,0.440,0.827
1993687037.mp3,77,F# minor,0.487,0.957,0.625,0.039,0.154
1996988518.mp3,126,E minor,0.539,0.475,0.559,0.287,0.940
1996990617.mp3,114,G major,0.214,0.975,0.830,0.134,0.134
1998478782.mp3,122,F# major,0.606,0.934,0.617,0.070,0.159
1998754104.mp3,68,Eb minor,0.428,0.957,0.764,0.041,0.218
1998929044.mp3,136,D major,0.292,0.966,0.733,0.093,0.305
1998952015.mp3,85,Ab major,0.392,0.704,0.647,0.412,0.998
1999287977.mp3,119,G minor,0.421,0.688,0.734,0.198,0.993
1999596939.mp3,134,G minor,0.522,0.836,0.771,0.067,0.756
2001034434.mp3,76,A major,0.119,0.995,0.864,0.045,0.338
2001968059.mp3,103,G minor,0.624,0.375,0.508,0.792,0.542
2001968090.mp3,73,G major,0.312,0.965,0.670,0.050,0.181
2001968107.mp3,132,B minor,0.666,0.303,0.357,0.850,0.988
